state_key,state,day,confirmed,previous_date,difference_previous_date,population,positivity_per_mil,fully_vaccinated,vaccinated_previous,vaccinated_daily,vaccinated_per_mil
35,Alabama,2020-04-12,3667,,,5024279,,,,,
35,Alabama,2020-04-13,3870,3667,203,5024279,40,,,,
35,Alabama,2020-04-14,4041,3870,171,5024279,34,,,,
35,Alabama,2020-04-15,4307,4041,266,5024279,53,,,,
35,Alabama,2020-04-16,4465,4307,158,5024279,31,,,,
35,Alabama,2020-04-17,4557,4465,92,5024279,18,,,,
35,Alabama,2020-04-18,4788,4557,231,5024279,46,,,,
35,Alabama,2020-04-19,4978,4788,190,5024279,38,,,,
35,Alabama,2020-04-20,5163,4978,185,5024279,37,,,,
35,Alabama,2020-04-21,5404,5163,241,5024279,48,,,,
35,Alabama,2020-04-22,5692,5404,288,5024279,57,,,,
35,Alabama,2020-04-24,5899,5692,207,5024279,41,,,,
35,Alabama,2020-04-25,6092,5899,193,5024279,38,,,,
35,Alabama,2020-04-26,6274,6092,182,5024279,36,,,,
35,Alabama,2020-04-27,6475,6274,201,5024279,40,,,,
35,Alabama,2020-04-28,6621,6475,146,5024279,29,,,,
35,Alabama,2020-04-29,6820,6621,199,5024279,40,,,,
35,Alabama,2020-04-30,6979,6820,159,5024279,32,,,,
35,Alabama,2020-05-01,7187,6979,208,5024279,41,,,,
35,Alabama,2020-05-02,7440,7187,253,5024279,50,,,,
35,Alabama,2020-05-03,7700,7440,260,5024279,52,,,,
35,Alabama,2020-05-04,7977,7700,277,5024279,55,,,,
35,Alabama,2020-05-05,8203,7977,226,5024279,45,,,,
35,Alabama,2020-05-06,8520,8203,317,5024279,63,,,,
35,Alabama,2020-05-07,8769,8520,249,5024279,50,,,,
35,Alabama,2020-05-08,9115,8769,346,5024279,69,,,,
35,Alabama,2020-05-09,9437,9115,322,5024279,64,,,,
35,Alabama,2020-05-10,9720,9437,283,5024279,56,,,,
35,Alabama,2020-05-11,9982,9720,262,5024279,52,,,,
35,Alabama,2020-05-12,10262,9982,280,5024279,56,,,,
35,Alabama,2020-05-13,10566,10262,304,5024279,61,,,,
35,Alabama,2020-05-14,10822,10566,256,5024279,51,,,,
35,Alabama,2020-05-15,11161,10822,339,5024279,67,,,,
35,Alabama,2020-05-16,11494,11161,333,5024279,66,,,,
35,Alabama,2020-05-17,11828,11494,334,5024279,66,,,,
35,Alabama,2020-05-18,12137,11828,309,5024279,62,,,,
35,Alabama,2020-05-19,12438,12137,301,5024279,60,,,,
35,Alabama,2020-05-20,12825,12438,387,5024279,77,,,,
35,Alabama,2020-05-21,13186,12825,361,5024279,72,,,,
35,Alabama,2020-05-22,13590,13186,404,5024279,80,,,,
35,Alabama,2020-05-23,13954,13590,364,5024279,72,,,,
35,Alabama,2020-05-24,14328,13954,374,5024279,74,,,,
35,Alabama,2020-05-25,14676,14328,348,5024279,69,,,,
35,Alabama,2020-05-26,15309,14676,633,5024279,126,,,,
35,Alabama,2020-05-27,15899,15309,590,5024279,117,,,,
35,Alabama,2020-05-28,16263,15899,364,5024279,72,,,,
35,Alabama,2020-05-29,16749,16263,486,5024279,97,,,,
35,Alabama,2020-05-30,17262,16749,513,5024279,102,,,,
35,Alabama,2020-05-31,17689,17262,427,5024279,85,,,,
35,Alabama,2020-06-01,18200,17689,511,5024279,102,,,,
35,Alabama,2020-06-02,18525,18200,325,5024279,65,,,,
35,Alabama,2020-06-03,18734,18525,209,5024279,42,,,,
35,Alabama,2020-06-04,18954,18734,220,5024279,44,,,,
35,Alabama,2020-06-05,19262,18954,308,5024279,61,,,,
35,Alabama,2020-06-06,19910,19262,648,5024279,129,,,,
35,Alabama,2020-06-07,20355,19910,445,5024279,89,,,,
35,Alabama,2020-06-08,20777,20355,422,5024279,84,,,,
35,Alabama,2020-06-09,21268,20777,491,5024279,98,,,,
35,Alabama,2020-06-10,21834,21268,566,5024279,113,,,,
35,Alabama,2020-06-11,22659,21834,825,5024279,164,,,,
35,Alabama,2020-06-12,23370,22659,711,5024279,142,,,,
35,Alabama,2020-06-13,24405,23370,1035,5024279,206,,,,
35,Alabama,2020-06-14,25364,24405,959,5024279,191,,,,
35,Alabama,2020-06-15,26182,25364,818,5024279,163,,,,
35,Alabama,2020-06-16,26485,26182,303,5024279,60,,,,
35,Alabama,2020-06-17,27034,26485,549,5024279,109,,,,
35,Alabama,2020-06-18,27941,27034,907,5024279,181,,,,
35,Alabama,2020-06-19,28676,27941,735,5024279,146,,,,
35,Alabama,2020-06-20,29225,28676,549,5024279,109,,,,
35,Alabama,2020-06-21,29683,29225,458,5024279,91,,,,
35,Alabama,2020-06-22,30122,29683,439,5024279,87,,,,
35,Alabama,2020-06-23,30771,30122,649,5024279,129,,,,
35,Alabama,2020-06-24,31889,30771,1118,5024279,223,,,,
35,Alabama,2020-06-25,32878,31889,989,5024279,197,,,,
35,Alabama,2020-06-26,33880,32878,1002,5024279,199,,,,
35,Alabama,2020-06-27,34903,33880,1023,5024279,204,,,,
35,Alabama,2020-06-28,35083,34903,180,5024279,36,,,,
35,Alabama,2020-06-29,36503,35083,1420,5024279,283,,,,
35,Alabama,2020-06-30,37589,36503,1086,5024279,216,,,,
35,Alabama,2020-07-01,38477,37589,888,5024279,177,,,,
35,Alabama,2020-07-02,39647,38477,1170,5024279,233,,,,
35,Alabama,2020-07-03,41340,39647,1693,5024279,337,,,,
35,Alabama,2020-07-04,42255,41340,915,5024279,182,,,,
35,Alabama,2020-07-05,43216,42255,961,5024279,191,,,,
35,Alabama,2020-07-06,44022,43216,806,5024279,160,,,,
35,Alabama,2020-07-07,44932,44022,910,5024279,181,,,,
35,Alabama,2020-07-08,46348,44932,1416,5024279,282,,,,
35,Alabama,2020-07-09,48149,46348,1801,5024279,358,,,,
35,Alabama,2020-07-10,49695,48149,1546,5024279,308,,,,
35,Alabama,2020-07-11,51329,49695,1634,5024279,325,,,,
35,Alabama,2020-07-12,52802,51329,1473,5024279,293,,,,
35,Alabama,2020-07-13,54781,52802,1979,5024279,394,,,,
35,Alabama,2020-07-14,56168,54781,1387,5024279,276,,,,
35,Alabama,2020-07-15,58284,56168,2116,5024279,421,,,,
35,Alabama,2020-07-16,60194,58284,1910,5024279,380,,,,
35,Alabama,2020-07-17,62128,60194,1934,5024279,385,,,,
35,Alabama,2020-07-18,64152,62128,2024,5024279,403,,,,
